apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,icon,moonPhase,ozone,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed
12.89,1514836800,-0.07,1514880000,12.89,1514836800,-5.93,1514793600,0.0,-3.64,0.48,clear-day,0.5,,,0.0,0.0,,0.0,,1027.77,Clear throughout the day.,1514809280,1514842805,18.15,1514836800,13.08,1514887200,18.15,1514836800,7.13,1514804400,1514782800,2,1514826000,9.997,298,20.8,1514829600,7.8
20.65,1514923200,6.67,1514980800,20.65,1514923200,-0.07,1514880000,0.02,3.62,0.52,clear-day,0.54,,,0.0,0.0,,0.0,,1028.3,Clear throughout the day.,1514895685,1514929255,26.25,1514923200,12.56,1514980800,26.25,1514923200,13.08,1514887200,1514869200,2,1514912400,9.997,269,19.68,1514883600,7.77
29.11,1515009600,13.93,1515067200,29.11,1515009600,6.67,1514980800,0.09,4.26,0.45,clear-day,0.58,,,0.0,0.0,,0.0,,1024.39,Clear throughout the day.,1514982087,1515015707,29.11,1515006000,24.24,1515063600,29.11,1515006000,12.56,1514980800,1514955600,2,1514998800,9.997,278,9.18,1514955600,2.59
17.08,1515110400,-7.65,1515157200,23.99,1515042000,7.71,1515128400,0.97,15.18,0.7,cloudy,0.61,,,0.0,0.0002,1515088800.0,0.01,,999.57,Foggy in the morning and afternoon.,1515068486,1515102161,26.25,1515110400,9.18,1515157200,29.11,1515042000,19.23,1515128400,1515042000,1,1515085200,5.39,327,33.35,1515099600,11.73
4.08,1515193200,-8.22,1515240000,7.71,1515128400,-7.65,1515157200,0.09,-4.47,0.45,clear-day,0.65,,,0.0,0.0,,0.0,,1009.58,Clear throughout the day.,1515154884,1515188616,16.16,1515186000,8.25,1515236400,19.23,1515128400,9.18,1515157200,1515128400,2,1515171600,9.88,286,33.35,1515182400,12.61
2.94,1515272400,-9.18,1515308400,2.94,1515272400,-8.22,1515240000,0.02,-9.08,0.42,clear-day,0.69,,,0.0,0.0,,0.0,,1023.7,Clear throughout the day.,1515241279,1515275072,12.21,1515261600,5.21,1515319200,12.21,1515261600,7.13,1515297600,1515214800,2,1515258000,9.997,290,27.73,1515218400,10.94
12.28,1515366000,6.88,1515387600,12.28,1515366000,-9.18,1515308400,0.17,-4.62,0.47,partly-cloudy-day,0.72,,,0.0,0.0,,0.0,,1032.99,Clear throughout the day.,1515327673,1515361530,17.28,1515355200,17.28,1515369600,18.15,1515373200,5.21,1515319200,1515301200,2,1515344400,9.997,273,18.36,1515304800,6.07
25.33,1515456000,21.58,1515488400,27.87,1515470400,6.88,1515387600,0.78,12.13,0.58,partly-cloudy-day,0.75,,,0.0,0.0,,0.0,,1022.44,Mostly cloudy throughout the day.,1515414064,1515447989,30.19,1515441600,27.97,1515488400,31.13,1515466800,17.28,1515387600,1515387600,2,1515430800,9.824,240,9.89,1515391200,5.52
39.02,1515520800,23.09,1515567600,39.02,1515520800,21.58,1515488400,0.17,22.16,0.61,partly-cloudy-day,0.79,,,0.0,0.0,,0.0,,1021.68,Clear throughout the day.,1515500452,1515534450,43.16,1515520800,23.19,1515582000,43.16,1515520800,27.97,1515488400,1515474000,2,1515517200,9.704,281,18.36,1515517200,5.49
39.19,1515607200,32.86,1515639600,39.19,1515607200,23.09,1515567600,0.31,23.64,0.69,partly-cloudy-day,0.82,,,0.0,0.0,,0.0,,1031.06,Partly cloudy throughout the day.,1515586839,1515620911,40.1,1515614400,35.17,1515654000,40.1,1515614400,23.19,1515582000,1515560400,2,1515603600,9.997,163,6.83,1515607200,2.04
